image_path,xmin,ymin,xmax,ymax,label
0_1.tif,315600.0316034994,6648250.549386739,315604.12480821466,6648257.156988637,Tree
0_1.tif,315603.3061672716,6648252.186668625,315607.6332693992,6648258.618847463,Tree
0_1.tif,315603.07226985926,6648257.156988637,315606.22988492536,6648259.963757582,Tree
0_1.tif,315607.45784633997,6648253.005309568,315611.7849484675,6648259.203590994,Tree
0_1.tif,315610.3815639937,6648253.2976813335,315615.23493529897,6648259.3205397,Tree
0_1.tif,315613.59765341284,6648252.303617331,315616.6383197727,6648255.461232397,Tree
0_1.tif,315617.3984863627,6648251.075655917,315621.14084495953,6648254.17479663,Tree
0_1.tif,315614.2993456497,6648255.987501575,315619.0942426019,6648259.91394728,Tree
0_1.tif,315618.2171273058,6648257.507834755,315622.60270378646,6648259.963757584,Tree
0_1.tif,315622.60270378646,6648258.151052639,315627.22217767936,6648259.960342825,Tree
0_1.tif,315623.30439602333,6648253.122258274,315626.28658803017,6648257.156988637,Tree
0_1.tif,315624.8247292033,6648255.578181103,315631.49080545385,6648259.960342824,Tree
0_1.tif,315621.55016543105,6648248.970579206,315625.46794708713,6648253.005309568,Tree
0_1.tif,315625.350998381,6648248.736681794,315629.38572874316,6648252.47904039,Tree
0_1.tif,315629.38572874316,6648247.216348614,315635.1162153445,6648253.063783921,Tree
0_1.tif,315627.22217767936,6648252.946835215,315629.7950492147,6648255.51970675,Tree
0_1.tif,315628.508613447,6648253.707001804,315632.89418992767,6648257.215462989,Tree
0_1.tif,315630.9645362761,6648257.332411695,315634.59992623434,6648259.937145052,Tree
0_1.tif,315634.4729974607,6648242.246028602,315639.9111122967,6648248.561258734,Tree
0_1.tif,315633.88825392997,6648246.631605082,315639.9111122966,6648254.233270982,Tree
0_1.tif,315613.5391790598,6648247.7426177915,315617.0476402443,6648250.900232857,Tree
0_1.tif,315609.6798717568,6648248.327361322,315612.0188458798,6648251.192604623,Tree
0_1.tif,315602.77989809396,6648247.274822966,315606.05446186615,6648249.847694502,Tree
0_1.tif,315602.95532115316,6648245.052797549,315605.64514139463,6648247.391771672,Tree
0_1.tif,315603.71548774315,6648246.514656376,315605.93751316,6648248.327361322,Tree
0_1.tif,315605.93751316,6648246.4561820235,315610.4400383468,6648250.1985406205,Tree
0_1.tif,315610.615461406,6648245.579066727,315613.83155082515,6648248.9121048525,Tree
0_1.tif,315607.45784633997,6648242.889246486,315611.6095254083,6648246.4561820235,Tree
0_1.tif,315600.2655009117,6648240.667221069,315603.3061672716,6648243.532464369,Tree
0_1.tif,315602.48752632854,6648240.433323657,315606.1714105723,6648243.649413076,Tree
0_1.tif,315605.11887221696,6648239.790105773,315610.3815639937,6648244.701951431,Tree
0_1.tif,315605.99598751304,6648238.3282469455,315609.9722435222,6648241.310438952,Tree
0_1.tif,315609.2705512853,6648240.199426244,315612.89596117596,6648244.6434770785,Tree
0_1.tif,315610.1476665814,6648235.813849764,315614.7086661213,6648240.842644128,Tree
0_1.tif,315611.7849484675,6648243.415515663,315614.8840891805,6648246.39770767,Tree
0_1.tif,315616.9891658912,6648238.3282469455,315621.78406284336,6648242.187554249,Tree
0_1.tif,315618.1586529527,6648235.8723241165,315622.60270378646,6648239.673157067,Tree
0_1.tif,315615.4103583582,6648241.895182484,315620.7899988411,6648248.151938262,Tree
0_1.tif,315619.67898613267,6648242.0706055425,315624.0060882602,6648246.690079436,Tree
0_1.tif,315617.9832298935,6648245.696015433,315623.070498611,6648250.607861091,Tree
0_1.tif,315623.30439602333,6648245.754489787,315626.98828026705,6648249.43837403,Tree
0_1.tif,315623.5967677887,6648241.778233778,315628.74251085933,6648246.748553789,Tree
0_1.tif,315626.4620110894,6648243.298566957,315632.9526642807,6648249.496848383,Tree
0_1.tif,315603.13074421237,6648234.176567878,315607.8086924584,6648238.796041771,Tree
0_1.tif,315613.2468072944,6648239.380785301,315617.9832298935,6648243.649413076,Tree
0_1.tif,315606.22988492536,6648230.668106693,315609.9722435222,6648234.527413996,Tree
0_1.tif,315619.09424260195,6648231.837593752,315623.47981908254,6648236.92486247,Tree
0_1.tif,315615.1179865928,6648227.744389037,315621.43321672495,6648234.118093522,Tree
0_1.tif,315616.2874736543,6648232.305388577,315619.97135789803,6648235.229106231,Tree
0_1.tif,315610.26461528754,6648230.141837513,315616.93069153815,6648235.229106231,Tree
0_1.tif,315609.796820463,6648226.3410045635,315612.954435529,6648229.498619629,Tree
0_1.tif,315606.28835927846,6648227.101171154,315610.14766658144,6648230.258786219,Tree
